"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",-218.480509667021,-217.480509667021,-29.2452439246913,-28.2452439246913
"quadratic model",-239.396535143924,-237.657404709142,-62.0602391146523,-60.3211086798697
"logistic model",-238.403719856063,-236.66458942128,-61.4859018437244,-59.7467714089418
"gompertz model",-214.511048623285,-211.783775896012,-27.3532842315979,-24.6260115043252
