"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",139.949824762956,142.949824762956,33.7536468284303,36.7536468284303
"quadratic model",139.142542996759,144.856828711045,26.0076379526931,31.7219236669788
"logistic model",NA,NA,11.2489115220701,16.9631972363558
"gompertz model",133.757160945134,143.757160945134,6.4339697845051,16.4339697845051
