"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",-82.4504538464369,-81.0386891405546,51.010009341935,52.4217740478173
"quadratic model",-156.048710245282,-153.548710245282,29.5651551681078,32.0651551681078
"logistic model",-68.0491645462571,-65.5491645462571,-0.592326314346147,1.90767368565385
"gompertz model",-139.187717956989,-135.187717956989,-0.382882579007724,3.61711742099228
