"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",2421.01242038472,2421.17568569084,459.800097870393,459.963363176516
"quadratic model",2417.19257588447,2417.46654848721,268.267467437001,268.54144003974
"logistic model",NA,NA,251.642327042564,251.916299645304
"gompertz model",2415.76681928746,2416.18061239091,244.084222312631,244.498015416079
