"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",65.4560745458203,Inf,12.4750529743184,Inf
"quadratic model",56.808245667468,16.808245667468,14.430027363129,-25.569972636871
"logistic model",NA,NA,20.2021826039999,-19.7978173960001
"gompertz model",-211.303445915239,-241.303445915239,-260.559937988414,-290.559937988414
