"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",87.3391861995377,95.3391861995377,21.340818110888,29.340818110888
"quadratic model",88.8227693588821,108.822769358882,19.4707211326462,39.4707211326462
"logistic model",NA,NA,-1.46251824610798,18.537481753892
"gompertz model",78.2780867541991,138.278086754199,1.50347077010955,61.5034707701096
