"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",-85.9374781207383,-83.9374781207383,-118.367939957378,-116.367939957378
"quadratic model",-86.388825346577,-82.7524617102133,-118.814943680919,-115.178580044556
"logistic model",-85.0234495009527,-81.3870858645891,-117.451514053386,-113.815150417022
"gompertz model",NA,NA,-118.205321424754,-112.205321424754
