"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",575.37104478521,577.77104478521,58.7054262865201,61.1054262865201
"quadratic model",556.979840580161,561.424285024605,30.0570091330021,34.5014535774466
"logistic model",NA,NA,30.5267356113681,34.9711800558125
"gompertz model",557.7518945962,565.2518945962,31.5815447061067,39.0815447061067
