"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",-38.2587051412712,-36.2587051412712,40.0704166679486,42.0704166679486
"quadratic model",-45.3153196351545,-41.6789559987908,36.7575084714066,40.3938721077703
"logistic model",-29.5015454151765,-25.8651817788129,-9.3716692673418,-5.73530563097816
"gompertz model",-53.781160766418,-47.781160766418,36.1308181236441,42.1308181236441
