"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",89.679032096783,101.679032096783,13.188685390793,25.188685390793
"quadratic model",88.9597533840827,128.959753384083,10.4216536588381,50.4216536588381
"logistic model",NA,NA,9.48089578066801,49.480895780668
"gompertz model",88.9939502954909,Inf,-1.22126854799186,Inf
