"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",-16.0618480983281,-14.7986902035912,74.3762562147383,75.6394141094752
"quadratic model",-28.2747742443265,-26.0525520221043,65.9698788460066,68.1921010682288
"logistic model",-13.8721196433907,-11.6498974211684,39.3351990698524,41.5574212920747
"gompertz model",NA,NA,74.1801676018247,77.7095793665306
