"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",129.10286602779,137.10286602779,18.3001659448968,26.3001659448968
"quadratic model",130.733282613693,150.733282613693,15.0011310318228,35.0011310318228
"logistic model",NA,NA,13.8654868711654,33.8654868711654
"gompertz model",122.345262639893,182.345262639893,-1.93570268572293,58.0642973142771
