"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",157.145037074137,160.573608502708,22.5775076630483,26.0060790916197
"quadratic model",129.930042765339,136.596709432005,-0.551678268762887,6.11498839790378
"logistic model",NA,NA,10.8024030479675,17.4690697146341
"gompertz model",123.287865499031,135.287865499031,0.351263559523595,12.3512635595236
