"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",94.7249528065532,106.724952806553,29.215756758932,41.215756758932
"quadratic model",96.0951262424392,136.095126242439,16.5603521034467,56.5603521034467
"logistic model",NA,NA,4.12976747369547,44.1297674736955
"gompertz model",74.2902760436379,Inf,7.40208155292069,Inf
