"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",109.317418706261,113.317418706261,37.1983251444862,41.1983251444862
"quadratic model",99.1724288888835,107.172428888884,22.2408524531914,30.2408524531914
"logistic model",80.4694711434565,88.4694711434565,40.9697452853658,48.9697452853658
"gompertz model",119.752846853801,134.752846853801,36.558626849158,51.558626849158
