"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",-39.0620404831034,-37.7988825883666,69.6044413964072,70.8675992911441
"quadratic model",-68.3971327175269,-66.1749104953046,54.9607992199901,57.1830214422123
"logistic model",-37.0465295873021,-34.8243073650799,24.7196491000988,26.9418713223211
"gompertz model",-50.1019474907787,-46.5725357260728,73.5491247823353,77.0785365470412
