"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",121.935250772255,126.735250772255,23.0943527523142,27.8943527523142
"quadratic model",120.998458929708,130.998458929708,24.8673213910241,34.8673213910241
"logistic model",NA,NA,7.18382415607266,17.1838241560727
"gompertz model",106.531229024534,126.531229024534,9.48242077127107,29.4824207712711
