"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",48.6616810639195,Inf,19.8645728622316,Inf
"quadratic model",43.5612822080038,3.56128220800378,-2.66551137310343,-42.6655113731034
"logistic model",NA,NA,4.17074352881119,-35.8292564711888
"gompertz model",-217.089596259042,-247.089596259042,-250.878494682962,-280.878494682962
