"","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"linear model",180.526267980862,182.372421827016,37.8359999998019,39.6821538459558
"quadratic model",160.251802280636,163.585135613969,9.08572606171648,12.4190593950498
"logistic model",117.859256639712,121.192589973045,20.1573719399804,23.4907052733137
"gompertz model",NA,NA,48.0672690334092,53.5218144879546
