XCoord,YCoord,A,P
-1.36837500,54.69787500,448.570201,87.896020
-1.36812500,54.69787500,448.570201,87.896020
-1.36775000,54.69787500,897.140402,120.133062
-1.36737500,54.69787500,448.570201,87.896020
-1.36642045,54.69801136,4934.255777,336.976459
-1.36587500,54.69787500,448.570201,87.896020
-1.36550000,54.69787500,897.140402,120.133062
-1.36500000,54.69787500,897.140402,120.133062
-1.36837500,54.69762500,448.572940,87.896216
-1.36812500,54.69762500,448.572940,87.896216
-1.36687500,54.69762500,1345.718820,152.370696
-1.36625000,54.69762500,897.145880,120.133456
-1.36587500,54.69762500,448.572940,87.896216
-1.36550000,54.69762500,897.145880,120.133456
-1.36512500,54.69762500,448.572940,87.896216
-1.36487500,54.69762500,448.572940,87.896216
-1.36837500,54.69737500,448.575680,87.896412
-1.36812500,54.69737500,448.575680,87.896412
-1.36762500,54.69750000,2691.445859,208.029967
-1.36625000,54.69737500,897.151360,120.133850
-1.36587500,54.69737500,448.575680,87.896412
-1.36550000,54.69737500,897.151360,120.133850
-1.36862500,54.69712500,448.578419,87.896607
-1.36787500,54.69712500,2242.892093,216.847154
-1.36712500,54.69712500,448.578419,87.896607
-1.36682500,54.69727500,2242.883877,208.030457
-1.36637500,54.69712500,448.578419,87.896607
-1.36612500,54.69712500,448.578419,87.896607
-1.36875000,54.69675000,1794.330111,175.793803
-1.36825000,54.69675000,1794.330111,175.793803
-1.36762500,54.69675000,2691.495166,208.031736
-1.36687500,54.69675000,2691.495166,208.031736
-1.36925000,54.69637500,897.173273,120.135426
-1.36875000,54.69637500,897.173273,120.135426
-1.36750000,54.69637500,897.173273,120.135426
-1.36687500,54.69637500,1345.759910,152.373657
-1.36925000,54.69612500,897.178751,120.135820
-1.36875000,54.69612500,897.178751,120.135820
-1.36825000,54.69625000,1794.352025,175.794586
-1.36787500,54.69625000,897.176012,143.556256
-1.36750000,54.69612500,897.178751,120.135820
-1.36687500,54.69612500,1345.768127,152.374250
-1.36937500,54.69587500,448.592115,87.897587
-1.36912500,54.69587500,448.592115,87.897587
-1.36875000,54.69587500,897.184230,120.136214
-1.36812500,54.69587500,1345.776346,152.374842
-1.36750000,54.69587500,897.184230,120.136214
-1.36937500,54.69562500,448.594854,87.897783
-1.36912500,54.69562500,448.594854,87.897783
-1.36875000,54.69562500,897.189709,120.136609
-1.36825000,54.69562500,897.189709,120.136609
-1.36787500,54.69562500,448.594854,87.897783
-1.36750000,54.69562500,897.189709,120.136609
-1.36962500,54.69537500,448.597593,87.897979
-1.36937500,54.69537500,448.597593,87.897979
-1.36887500,54.69537500,1345.792780,152.376026
-1.36787500,54.69537500,448.597593,87.897979
