"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",120.111439180488,Inf,22.4879608715061,Inf
"2","quadratic model",121.930898106299,81.9308981062994,17.6491271335551,-22.3508728664449
"3","logistic model",NA,NA,-7.38447499882869,-47.3844749988287
"4","gompertz model",-155.955956746542,-185.955956746542,-247.983358082874,-277.983358082874
