"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",-10.3310129583338,-9.06785506359692,62.2242246903807,63.4873825851175
"2","quadratic model",-54.8262073226424,-52.6039851004202,25.4821611044993,27.7043833267215
"3","logistic model",-26.6124538265905,-24.3902316043682,28.0662238362916,30.2884460585138
"4","gompertz model",-24.5350113415595,-21.0055995768536,26.8639756416807,30.3933874063866
