"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",-45.3652192780658,-42.9652192780658,39.4805255847369,41.8805255847369
"2","quadratic model",-96.5976364096234,-92.1531919651789,29.6443227064743,34.0887671509187
"3","logistic model",-33.149375869533,-28.7049314250886,-13.8324765714753,-9.38803212703088
"4","gompertz model",-77.8719720551543,-70.3719720551543,-9.10362530145466,-1.60362530145466
