"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",957.364787935992,957.864787935992,122.854435871466,123.354435871466
"2","quadratic model",959.337244023162,960.188307852949,112.362821047834,113.213884877621
"3","logistic model",NA,NA,112.672847329073,113.52391115886
"4","gompertz model",NA,NA,99.0093756330403,100.313723459127
