"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",151.83186300562,154.83186300562,36.8578923554425,39.8578923554425
"2","quadratic model",152.43922652194,158.153512236225,19.7334500280878,25.4477357423735
"3","logistic model",NA,NA,14.9520486490828,20.6663343633685
"4","gompertz model",134.087454354037,144.087454354037,13.7546582862553,23.7546582862553
