"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",-63.4864928810349,-61.3046746992167,46.68766717386,48.8694853556781
"2","quadratic model",-102.133142583116,-98.1331425831157,40.0483421889597,44.0483421889597
"3","logistic model",-82.7385817879047,-78.7385817879047,8.7386994626434,12.7386994626434
"4","gompertz model",NA,NA,16.6608712759833,23.32753794265
