"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",83.59947329225,95.59947329225,-8.3507148245173,3.6492851754827
"2","quadratic model",73.9183195914002,113.9183195914,-8.29028855027672,31.7097114497233
"3","logistic model",NA,NA,-8.41386209180933,31.5861379081907
"4","gompertz model",73.3124037125894,Inf,-5.92801686798105,Inf
