"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",-235.290861945343,-234.290861945343,34.7194751365825,35.7194751365825
"2","quadratic model",-264.227056505227,-262.487926070444,10.0287878967472,11.7679183315299
"3","logistic model",-233.389308057586,-231.650177622803,36.8194597048241,38.5585901396067
"4","gompertz model",-244.908813403794,-242.181540676521,27.5915139013715,30.3187866286442
