"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",536.448754744521,539.115421411188,58.8800353456373,61.5467020123039
"2","quadratic model",533.29497593625,538.29497593625,31.3145832851446,36.3145832851446
"3","logistic model",NA,NA,25.2672578326278,30.2672578326278
"4","gompertz model",NA,NA,28.7385200772278,37.3099486486564
