"","X","AIC_norm","AICc_norm","AIC_Log","AICc_Log"
"1","linear model",180.741636151466,184.170207580037,37.1437391476617,40.5723105762331
"2","quadratic model",181.585012710111,188.251679376777,31.4458224451994,38.1124891118661
"3","logistic model",NA,NA,18.9427212588031,25.6093879254698
"4","gompertz model",174.313947652801,186.313947652801,16.5957850057767,28.5957850057767
