XCoord,YCoord,A,P
-2.32950649,50.82457298,85.384819,42.334494
-2.32937645,50.82447790,63.254797,32.646038
-2.32978582,50.82439407,86.367941,42.486168
-2.32994012,50.82429824,73.514160,41.069327
-2.32973577,50.82416349,379.532575,77.951902
-2.32937829,50.82412042,43.309800,31.190440
-2.28351275,50.81460168,85.403071,42.339576
-2.28198562,50.81271521,85.406655,42.340560
-2.28267652,50.81360337,9183.233040,654.867213
-2.28160831,50.81239783,494.181141,94.444249
-2.06865151,50.79244771,1787.490428,181.327241
-2.06407806,50.79315968,31156.940635,1335.939307
-2.07049616,50.79210379,762.781287,136.222460
-2.07030232,50.79182414,379.791309,77.977782
-2.04784444,50.78185284,126.625085,52.643985
-2.04751187,50.78201720,933.469590,135.557093
-2.04771438,50.78171285,85.465409,42.356951
-2.04797918,50.78073309,88.335034,43.300365
-2.04829544,50.78064196,43.349686,31.199952
-2.04795263,50.78053087,606.292056,114.585324
-2.04757310,50.78045861,43.349577,31.199847
-2.14903897,50.77641403,1851.245982,183.702181
-2.05599708,50.77645734,1970.835354,185.607979
-2.29327907,50.74597151,965.713174,141.313737
-2.02265183,50.74525249,86.511123,42.524574
-2.00340064,50.74543838,2273.186141,202.933708
-2.00508279,50.74515482,43.382595,31.207828
-2.02315857,50.74511101,1301.809853,229.446669
-2.00323982,50.74421646,334.262245,75.807011
-2.00482060,50.74447505,8423.384207,510.102005
-2.13541247,50.73459622,242.692521,71.545080
-2.13516068,50.73442180,380.252501,78.023913
-2.13231206,50.73466552,20649.183813,808.892501
-2.05611078,50.73114479,43.395714,31.210965
-2.05543520,50.73109803,760.558387,116.080629
-2.05619877,50.73073870,380.283348,78.026999
-2.05646826,50.73055904,380.283522,78.027016
-2.00229801,50.72907866,43.397607,31.211417
-2.00242947,50.72898099,86.540448,42.532439
-2.07174147,50.72836001,43.398266,31.211644
-2.07201096,50.72818035,43.398539,31.211727
-2.07139333,50.72827222,649.046969,135.042184
-2.07234376,50.72808867,73.666770,41.127417
-2.24661600,50.72825140,2852.254595,215.082222
-2.07245171,50.72799884,40.589996,29.067533
-2.24541819,50.72805231,2662.130637,286.745384
-2.23363514,50.72816400,3640.055097,273.319762
-2.00151156,50.72855273,17948.724431,844.592064
-2.12483334,50.72640975,12086.950698,530.714317
-2.13084877,50.72274370,380.346279,78.033294
-2.12941147,50.72265387,380.347000,78.033366
-2.00103912,50.72242929,139.357403,66.662516
-2.00189561,50.72045613,88.451434,43.324216
-2.30830590,50.72035326,6469.786658,516.150455
-2.30628974,50.71995892,380.368639,78.035530
-2.30970334,50.71986909,760.738720,118.008063
-2.30823235,50.71948730,3042.981943,310.234813
-2.30651432,50.71941993,2282.239068,272.171523
-2.00194053,50.71821377,40.598064,32.715966
-2.02579466,50.71645827,170.339277,61.608917
-2.29613878,50.71627583,380.398210,78.038488
-2.29111668,50.71642364,1135.138818,163.486357
-2.29435349,50.71611889,2706.282961,300.655603
-2.29073766,50.71612985,507.200446,98.024953
-2.02774793,50.71663773,20579.579516,721.307754
-2.29034465,50.71582667,1521.607266,156.077698
-2.02529672,50.71555717,380.403980,78.039065
-2.29244885,50.71534169,426.121288,87.198207
-2.29359870,50.71484861,158.162878,62.769605
-2.18429853,50.71308681,190.211907,58.054843
-2.18486621,50.71306811,204.345671,66.664810
-2.18308068,50.71236216,86.575940,42.541953
-2.18400940,50.71255032,6517.137748,380.654422
-2.05013514,50.71151476,253.624289,65.352342
-2.24093731,50.71039186,126.815150,45.366743
-2.24192545,50.71012237,126.816506,45.367015
-2.24141893,50.71014988,1118.080868,138.382304
-2.24094244,50.71003853,86.579876,42.543053
-2.24107390,50.70994086,43.415142,31.215662
-2.24165126,50.70985811,85.589225,42.391534
-2.24134339,50.70976488,43.415303,31.215707
-2.06949384,50.70890964,887.735082,128.807223
-2.06994299,50.70872998,380.458791,78.044548
-2.35372079,50.70841557,190.230657,58.058610
-2.18351474,50.70806905,593.382350,105.233018
-2.34698343,50.70756217,380.468165,78.045486
-2.34723805,50.70741924,130.891080,54.310587
